file_id,label
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,0
